German,English
Hallo,Hello
Tschüss,Bye
Danke,Thanks
Bitte,Please
Ja,Yes
Nein,No
Vielleicht,Maybe
Entschuldigung,Excuse me
Guten Morgen,Good morning
Gute Nacht,Good night
Bis später,See you later
Hilfe,Help
Wer,Who
Was,What
Wo,Where
Wann,When
Warum,Why
Wie,How
Ich,I
Du,You
Der Mann,The man
Die Frau,The woman
Das Kind,The child
Der Junge,The boy
Das Mädchen,The girl
Der Vater,The father
Die Mutter,The mother
Der Bruder,The brother
Die Schwester,The sister
Der Freund,The friend (male)
Die Freundin,The friend (female)
Die Familie,The family
Die Eltern,The parents
Der Sohn,The son
Die Tochter,The daughter
Die Leute,The people
Das Wasser,The water
Das Brot,The bread
Der Apfel,The apple
Die Banane,The banana
Der Kaffee,The coffee
Der Tee,The tea
Die Milch,The milk
Das Bier,The beer
Der Wein,The wine
Das Fleisch,The meat
Der Fisch,The fish
Das Ei,The egg
Der Käse,The cheese
Das Obst,The fruit
Das Gemüse,The vegetables
Das Frühstück,The breakfast
Das Mittagessen,The lunch
Das Abendessen,The dinner
Essen,To eat
Trinken,To drink
Lecker,Delicious
Sein,To be
Haben,To have
Gehen,To go
Kommen,To come
Sprechen,To speak
Wohnen,To live/reside
Arbeiten,To work
Lernen,To learn
Schlafen,To sleep
Sehen,To see
Hören,To hear
Verstehen,To understand
Wissen,To know
Denken,To think
Machen,To do/make
Nehmen,To take
Geben,To give
Lieben,To love
Spielen,To play
Brauchen,To need
Mögen,To like
Wollen,To want
Gut,Good
Schlecht,Bad
Groß,Big
Klein,Small
Schön,Beautiful
Hässlich,Ugly
Alt,Old
Neu,New
Jung,Young
Heiß,Hot
Kalt,Cold
Schnell,Fast
Langsam,Slow
Teuer,Expensive
Billig,Cheap
Einfach,Easy
Schwer,Difficult/Heavy
Wichtig,Important
Glücklich,Happy
Traurig,Sad
Müde,Tired
Das Haus,The house
Die Schule,The school
Die Arbeit,The work
Das Auto,The car
Der Zug,The train
Der Bus,The bus
Die Stadt,The city
Das Land,The country
Der Tisch,The table
Der Stuhl,The chair
Das Buch,The book
Der Stift,The pen
Das Geld,The money
Die Zeit,The time
Der Tag,The day
Die Woche,The week
Der Monat,The month
Das Jahr,The year
Heute,Today
Morgen,Tomorrow
Gestern,Yesterday
